19/06/2014 03:06:06 p.m.	Inicio
19/06/2014 03:06:06 p.m.	Folder encontrado:0
19/06/2014 03:06:06 p.m.	Folder encontrado:1
19/06/2014 03:06:06 p.m.	Folder encontrado:2
19/06/2014 03:06:06 p.m.	Folder encontrado:3
19/06/2014 03:06:06 p.m.	Folder encontrado:4
19/06/2014 03:06:06 p.m.	Folder encontrado:5
19/06/2014 03:06:06 p.m.	Folder encontrado:6
19/06/2014 03:06:11 p.m.	Finalizado
19/06/2014 03:13:24 p.m.	Inicio
19/06/2014 03:13:59 p.m.	Finalizado
19/06/2014 03:14:18 p.m.	Inicio
19/06/2014 03:14:18 p.m.	Folder encontrado:0
19/06/2014 03:14:18 p.m.	Folder encontrado:1
19/06/2014 03:14:18 p.m.	Folder encontrado:2
19/06/2014 03:14:30 p.m.	Finalizado
